sku,product_name,category,cost_price
SKU-0001,Studio Headphones,Audio,183.39
SKU-0002,Lite Speaker,Computing,51.16
SKU-0003,Traveller Thermostat,Home,131.04
SKU-0004,Everyday Backpack,Kitchen,56.73
SKU-0005,Lite Blender,Lighting,203.12
SKU-0006,Everyday Stand,Mobile,157.26
SKU-0007,Studio Tracker,Outdoor,302.58
SKU-0008,Nordic Webcam,Wearables,327.53
SKU-0009,Field Headphones,Audio,227.80
SKU-0010,Pro Backpack,Computing,74.27
SKU-0011,Ultra Backpack,Home,181.65
SKU-0012,Pro Router,Kitchen,242.58
SKU-0013,Everyday Monitor,Lighting,29.54
SKU-0014,Everyday Stand,Mobile,263.40
SKU-0015,Field Thermostat,Outdoor,116.36
SKU-0016,Studio Tracker,Wearables,68.34
SKU-0017,Field Stand,Audio,231.11
SKU-0018,Pro Case,Computing,258.68
SKU-0019,Nordic Lamp,Home,77.15
SKU-0020,Precision Kettle,Kitchen,49.77
SKU-0021,Studio Tracker,Lighting,171.44
SKU-0022,Traveller Monitor,Mobile,188.07
SKU-0023,Field Monitor,Outdoor,20.93
SKU-0024,Ultra Blender,Wearables,203.41
SKU-0025,Classic Charger,Audio,223.68
SKU-0026,Mini Mouse,Computing,188.06
SKU-0027,Mini Router,Home,157.18
SKU-0028,Field Lamp,Kitchen,122.77
SKU-0029,Pro Router,Lighting,144.20
SKU-0030,Compact Backpack,Mobile,186.84
SKU-0031,Ultra Headphones,Outdoor,67.86
SKU-0032,Studio Stand,Wearables,105.09
SKU-0033,Compact Adapter,Audio,248.79
SKU-0034,Pro Charger,Computing,227.07
SKU-0035,Studio Router,Home,176.15
SKU-0036,Compact Keyboard,Kitchen,202.15
SKU-0037,Studio Blender,Lighting,217.13
SKU-0038,Pro Router,Mobile,236.01
SKU-0039,Precision Lamp,Outdoor,133.51
SKU-0040,Classic Kettle,Wearables,255.04
SKU-0041,Everyday Router,Audio,49.18
SKU-0042,Field Mouse,Computing,261.23
SKU-0043,Everyday Thermostat,Home,273.54
SKU-0044,Field Charger,Kitchen,106.87
SKU-0045,Lite Tracker,Lighting,17.66
SKU-0046,Nordic Charger,Mobile,224.15
SKU-0047,Mini Thermostat,Outdoor,61.56
SKU-0048,Traveller Tracker,Wearables,190.84
SKU-0049,Lite Backpack,Audio,231.86
SKU-0050,Field Blender,Computing,36.53
SKU-0051,Classic Blender,Home,284.69
SKU-0052,Nordic Router,Kitchen,69.24
SKU-0053,Ultra Tracker,Lighting,50.03
SKU-0054,Ultra Scale,Mobile,73.19
SKU-0055,Precision Keyboard,Outdoor,143.89
SKU-0056,Classic Backpack,Wearables,224.12
SKU-0057,Compact Keyboard,Audio,63.97
SKU-0058,Ultra Headphones,Computing,101.47
SKU-0059,Studio Case,Home,37.58
SKU-0060,Lite Router,Kitchen,157.07
SKU-0061,Mini Speaker,Lighting,127.53
SKU-0062,Field Charger,Mobile,28.92
SKU-0063,Everyday Charger,Outdoor,36.96
SKU-0064,Mini Lamp,Wearables,81.94
SKU-0065,Field Lamp,Audio,166.24
SKU-0066,Pro Kettle,Computing,70.56
SKU-0067,Field Tracker,Home,8.84
SKU-0068,Field Case,Kitchen,213.85
SKU-0069,Everyday Blender,Lighting,231.86
SKU-0070,Everyday Tracker,Mobile,118.60
SKU-0071,Mini Adapter,Outdoor,72.66
SKU-0072,Field Kettle,Wearables,205.25
SKU-0073,Lite Backpack,Audio,202.40
SKU-0074,Everyday Blender,Computing,15.01
SKU-0075,Everyday Adapter,Home,213.15
SKU-0076,Traveller Adapter,Kitchen,154.16
SKU-0077,Mini Adapter,Lighting,173.64
SKU-0078,Mini Stand,Mobile,141.32
SKU-0079,Mini Adapter,Outdoor,201.52
SKU-0080,Lite Monitor,Wearables,107.36
SKU-0081,Mini Headphones,Audio,146.05
SKU-0082,Field Keyboard,Computing,194.80
SKU-0083,Compact Lamp,Home,25.95
SKU-0084,Pro Case,Kitchen,215.91
SKU-0085,Classic Kettle,Lighting,15.00
SKU-0086,Pro Lamp,Mobile,81.96
SKU-0087,Field Monitor,Outdoor,120.13
SKU-0088,Traveller Webcam,Wearables,261.40
SKU-0089,Classic Kettle,Audio,109.44
SKU-0090,Field Case,Computing,55.15
SKU-0091,Mini Keyboard,Home,307.59
SKU-0092,Classic Speaker,Kitchen,190.16
SKU-0093,Mini Webcam,Lighting,240.32
SKU-0094,Everyday Scale,Mobile,73.47
SKU-0095,Traveller Kettle,Outdoor,69.35
SKU-0096,Mini Charger,Wearables,171.54
SKU-0097,Everyday Tracker,Audio,109.12
SKU-0098,Compact Kettle,Computing,120.22
SKU-0099,Traveller Router,Home,164.88
SKU-0100,Traveller Keyboard,Kitchen,208.91
SKU-0101,Traveller Backpack,Lighting,244.59
SKU-0102,Pro Thermostat,Mobile,145.65
SKU-0103,Lite Headphones,Outdoor,133.07
SKU-0104,Mini Blender,Wearables,217.19
SKU-0105,Studio Router,Audio,249.25
SKU-0106,Studio Lamp,Computing,48.85
SKU-0107,Ultra Kettle,Home,160.36
SKU-0108,Compact Thermostat,Kitchen,203.35
SKU-0109,Studio Backpack,Lighting,8.01
SKU-0110,Classic Webcam,Mobile,19.93
SKU-0111,Pro Speaker,Outdoor,129.20
SKU-0112,Field Scale,Wearables,97.59
SKU-0113,Pro Scale,Audio,12.52
SKU-0114,Everyday Lamp,Computing,113.26
SKU-0115,Field Headphones,Home,177.67
SKU-0116,Precision Headphones,Kitchen,79.52
SKU-0117,Lite Router,Lighting,92.41
SKU-0118,Compact Adapter,Mobile,41.48
SKU-0119,Ultra Scale,Outdoor,229.71
SKU-0120,Lite Stand,Wearables,61.21
SKU-0121,Everyday Blender,Audio,229.01
SKU-0122,Precision Webcam,Computing,73.39
SKU-0123,Ultra Speaker,Home,153.41
SKU-0124,Precision Charger,Kitchen,159.55
SKU-0125,Nordic Lamp,Lighting,85.79
SKU-0126,Studio Lamp,Mobile,114.50
SKU-0127,Precision Case,Outdoor,236.07
SKU-0128,Lite Charger,Wearables,106.00
SKU-0129,Mini Tracker,Audio,160.20
SKU-0130,Ultra Lamp,Computing,106.15
SKU-0131,Classic Scale,Home,240.04
SKU-0132,Ultra Stand,Kitchen,57.90
SKU-0133,Studio Headphones,Lighting,305.71
SKU-0134,Studio Charger,Mobile,80.23
SKU-0135,Everyday Lamp,Outdoor,46.73
SKU-0136,Ultra Monitor,Wearables,183.17
SKU-0137,Compact Keyboard,Audio,195.92
SKU-0138,Mini Blender,Computing,216.40
SKU-0139,Compact Thermostat,Home,85.67
SKU-0140,Lite Mouse,Kitchen,57.75
SKU-0141,Pro Lamp,Lighting,116.07
SKU-0142,Nordic Keyboard,Mobile,140.31
SKU-0143,Pro Router,Outdoor,87.42
SKU-0144,Precision Tracker,Wearables,60.15
SKU-0145,Precision Backpack,Audio,17.33
SKU-0146,Everyday Thermostat,Computing,258.37
SKU-0147,Precision Speaker,Home,182.49
SKU-0148,Pro Charger,Kitchen,201.23
SKU-0149,Pro Backpack,Lighting,53.22
SKU-0150,Compact Thermostat,Mobile,15.83
SKU-0151,Pro Tracker,Outdoor,154.34
SKU-0152,Lite Backpack,Wearables,217.42
SKU-0153,Nordic Stand,Audio,139.61
SKU-0154,Mini Router,Computing,287.83
SKU-0155,Field Lamp,Home,47.60
SKU-0156,Precision Thermostat,Kitchen,128.76
SKU-0157,Precision Blender,Lighting,284.04
SKU-0158,Compact Router,Mobile,155.77
SKU-0159,Everyday Speaker,Outdoor,215.06
SKU-0160,Lite Backpack,Wearables,88.86
SKU-0161,Field Blender,Audio,232.60
SKU-0162,Field Charger,Computing,46.61
SKU-0163,Everyday Lamp,Home,64.93
SKU-0164,Nordic Keyboard,Kitchen,163.79
SKU-0165,Ultra Mouse,Lighting,8.83
SKU-0166,Precision Case,Mobile,106.59
SKU-0167,Compact Router,Outdoor,172.10
SKU-0168,Ultra Monitor,Wearables,8.65
SKU-0169,Field Charger,Audio,222.06
SKU-0170,Everyday Webcam,Computing,209.13
SKU-0171,Studio Kettle,Home,99.77
SKU-0172,Compact Scale,Kitchen,126.26
SKU-0173,Studio Lamp,Lighting,119.62
SKU-0174,Traveller Kettle,Mobile,112.68
SKU-0175,Everyday Headphones,Outdoor,319.69
SKU-0176,Precision Adapter,Wearables,184.57
SKU-0177,Lite Backpack,Audio,134.29
SKU-0178,Mini Blender,Computing,265.18
SKU-0179,Ultra Tracker,Home,14.48
SKU-0180,Traveller Lamp,Kitchen,119.55
